Date,EURUSD=X,GBPUSD=X,USDJPY=X,USDCHF=X,AUDUSD=X,USDCAD=X,NZDUSD=X
2023-01-02,1.0709733963012695,1.2120330333709717,130.84500122070313,0.923799991607666,0.6823097467422485,1.352810025215149,0.6374799013137817
2023-01-03,1.0677714347839355,1.206287145614624,130.79400634765625,0.9240000247955322,0.6805600523948669,1.3559000492095947,0.6326391100883484
2023-01-04,1.0546854734420776,1.1969740390777588,131.2480010986328,0.9358000159263611,0.6727999448776245,1.3674099445343018,0.6247110962867737
2023-01-05,1.0606365203857422,1.2057054042816162,132.24600219726563,0.9295899868011475,0.6829108595848083,1.3485100269317627,0.6285117864608765
2023-01-06,1.0522217750549316,1.1912277936935425,133.3070068359375,0.9358299970626831,0.6755697727203369,1.3559900522232056,0.6230801343917847
2023-01-09,1.0656323432922363,1.2116365432739258,131.86199951171875,0.9268699884414673,0.689398467540741,1.3435200452804565,0.6359097957611084
2023-01-10,1.073318362236023,1.2184869050979614,131.72900390625,0.920930027961731,0.6909699440002441,1.3393700122833252,0.6369507908821106
2023-01-11,1.0738946199417114,1.2154507637023926,132.1009979248047,0.9222400188446045,0.6895001530647278,1.3432899713516235,0.6371902227401733
2023-01-12,1.0766000747680664,1.2159533500671387,131.90199279785156,0.9309200048446655,0.6910998225212097,1.343000054359436,0.6367682814598083
2023-01-13,1.0860239267349243,1.2217769622802734,129.1719970703125,0.9272000193595886,0.6967815160751343,1.3375999927520752,0.638781726360321
2023-01-16,1.082461953163147,1.2226732969284058,128.0260009765625,0.9267200231552124,0.6973500847816467,1.3396199941635132,0.6385084390640259
2023-01-17,1.0830129384994507,1.2207776308059692,128.3209991455078,0.9253900051116943,0.6966398358345032,1.3397799730300903,0.6389898657798767
2023-01-18,1.0793308019638062,1.228471040725708,128.281005859375,0.9219200015068054,0.6988413333892822,1.3389999866485596,0.6432895064353943
2023-01-19,1.0797853469848633,1.2347661256790161,128.53900146484375,0.91593998670578,0.6944000720977783,1.3495800495147705,0.6445499658584595
2023-01-20,1.083388328552246,1.2393262386322021,128.3699951171875,0.9154999852180481,0.691399872303009,1.3463799953460693,0.6395497918128967
2023-01-23,1.086507797241211,1.240633249282837,129.35400390625,0.9198899865150452,0.6982703804969788,1.3371000289916992,0.648908257484436
2023-01-24,1.0874292850494385,1.2379761934280396,130.5970001220703,0.9216700196266174,0.702928364276886,1.3370100259780884,0.6490219235420227
2023-01-25,1.088814616203308,1.232923984527588,130.23899841308594,0.9222999811172485,0.7046719789505005,1.3374799489974976,0.6493295431137085
2023-01-26,1.0922038555145264,1.2412492036819458,129.23699951171875,0.9169700145721436,0.7108199596405029,1.3380199670791626,0.6484116911888123
2023-01-27,1.0894432067871094,1.2415266036987305,129.8000030517578,0.920199990272522,0.7113898396492004,1.3316099643707275,0.6490893363952637
2023-01-30,1.0871455669403076,1.2400301694869995,129.85400390625,0.9208599925041199,0.7107977271080017,1.3303200006484985,0.6492199301719666
2023-01-31,1.0850694179534912,1.2353609800338745,130.47900390625,0.925279974937439,0.7058099508285522,1.338379979133606,0.6468890905380249
2023-02-01,1.0860947370529175,1.2308903932571411,130.11000061035156,0.9162499904632568,0.7051399946212769,1.3306000232696533,0.6438201069831848
2023-02-02,1.1012852191925049,1.2390038967132568,128.6219940185547,0.907260000705719,0.7145000696182251,1.3274999856948853,0.6516398787498474
2023-02-03,1.0905125141143799,1.222299575805664,128.74600219726563,0.9132000207901001,0.7074687480926514,1.3316600322723389,0.6477187275886536
2023-02-06,1.079086184501648,1.2045146226882935,132.00900268554688,0.9263299703598022,0.6920798420906067,1.3399699926376343,0.6327711939811707
2023-02-07,1.0730764865875244,1.2026747465133667,132.6230010986328,0.927869975566864,0.6887801885604858,1.344099998474121,0.6308802366256714
2023-02-08,1.0729728937149048,1.2054582834243774,131.04200744628906,0.9216499924659729,0.6964598298072815,1.3390100002288818,0.6321991682052612
2023-02-09,1.0715816020965576,1.2071462869644165,131.38699340820313,0.9209100008010864,0.6930001974105835,1.344499945640564,0.6314606666564941
2023-02-10,1.0742292404174805,1.2116806507110596,131.5189971923828,0.9219740033149719,0.6939384341239929,1.3448699712753296,0.6327512264251709
2023-02-13,1.0677714347839355,1.2052258253097534,131.55099487304688,0.92378997802734375,0.6913477778434753,1.3357399702072144,0.6312298774719238
2023-02-14,1.0730419158935547,1.215214490890503,132.33700561523438,0.9186199903488159,0.6970000863075256,1.3333100080490112,0.6361404061317444
2023-02-15,1.0735719203948975,1.2174336910247803,132.99099731445313,0.92153000831604,0.6987583041191101,1.3340599536895752,0.6335489153862
2023-02-16,1.0691757202148438,1.2039779424667358,133.9029998779297,0.9233599901199341,0.690689742565155,1.3390599489212036,0.6279789805412292
2023-02-17,1.0665756464004517,1.197533130645752,134.07400512695313,0.9264600276947021,0.6862400770187378,1.3473000526428223,0.6245394349098206
2023-02-20,1.0684444904327393,1.2029786109924316,134.3070068359375,0.92535001039505,0.686940610408783,1.3481999635696411,0.6236202716827393
2023-02-21,1.068261981010437,1.2039200067520142,134.33599853515625,0.9231799840927124,0.6909002065658569,1.3452999591827393,0.6257705092430115
2023-02-22,1.065200924873352,1.2109322547912598,134.9759979248047,0.9275000095367432,0.686190128326416,1.3534899950027466,0.6216199398040771
2023-02-23,1.0605803728103638,1.204993486404419,134.9320068359375,0.9312400221824646,0.6812916994094849,1.3545399904251099,0.6224014759063721
2023-02-24,1.0598047971725464,1.2017786502838135,134.6280059814453,0.9336900115013123,0.6810133457183838,1.3543200492858887,0.6230801343917847
